DATE,EMVMACROBUS
1985-01-01,0.00000
1985-02-01,0.00000
1985-03-01,0.24807
1985-04-01,0.14258
1985-05-01,0.13203
1985-06-01,0.06578
1985-07-01,0.08192
1985-08-01,0.25148
1985-09-01,0.29129
1985-10-01,0.18797
1985-11-01,0.14364
1985-12-01,0.12827
1986-01-01,0.32878
1986-02-01,0.08079
1986-03-01,0.46718
1986-04-01,0.26103
1986-05-01,0.20826
1986-06-01,0.18268
1986-07-01,0.36431
1986-08-01,0.33936
1986-09-01,0.41350
1986-10-01,0.25618
1986-11-01,0.25043
1986-12-01,0.29150
1987-01-01,0.59398
1987-02-01,0.29422
1987-03-01,0.26335
1987-04-01,0.28630
1987-05-01,0.40636
1987-06-01,0.22076
1987-07-01,0.10781
1987-08-01,0.41753
1987-09-01,0.34289
1987-10-01,1.15265
1987-11-01,0.78805
1987-12-01,0.76357
1988-01-01,1.42561
1988-02-01,0.44125
1988-03-01,0.25224
1988-04-01,0.44116
1988-05-01,0.60692
1988-06-01,0.30404
1988-07-01,0.12009
1988-08-01,0.37770
1988-09-01,0.20132
1988-10-01,0.56992
1988-11-01,0.20287
1988-12-01,0.34857
1989-01-01,0.54671
1989-02-01,0.39910
1989-03-01,0.09108
1989-04-01,0.27650
1989-05-01,0.25044
1989-06-01,0.09999
1989-07-01,0.26041
1989-08-01,0.21102
1989-09-01,0.53843
1989-10-01,0.52124
1989-11-01,0.05021
1989-12-01,0.35177
1990-01-01,0.19286
1990-02-01,0.29612
1990-03-01,0.04455
1990-04-01,0.24888
1990-05-01,0.16806
1990-06-01,0.04902
1990-07-01,0.22546
1990-08-01,0.28566
1990-09-01,0.10092
1990-10-01,0.30843
1990-11-01,0.18869
1990-12-01,0.37705
1991-01-01,0.26046
1991-02-01,0.64962
1991-03-01,0.21645
1991-04-01,0.05477
1991-05-01,0.20887
1991-06-01,0.05486
1991-07-01,0.17139
1991-08-01,0.26256
1991-09-01,0.26360
1991-10-01,0.15454
1991-11-01,0.43525
1991-12-01,0.15283
1992-01-01,0.22069
1992-02-01,0.22603
1992-03-01,0.56230
1992-04-01,0.53363
1992-05-01,0.15958
1992-06-01,0.21829
1992-07-01,0.24780
1992-08-01,0.17566
1992-09-01,0.23434
1992-10-01,0.09847
1992-11-01,0.38534
1992-12-01,0.29146
1993-01-01,0.16933
1993-02-01,0.23847
1993-03-01,0.21997
1993-04-01,0.21814
1993-05-01,0.17221
1993-06-01,0.39603
1993-07-01,0.05725
1993-08-01,0.22745
1993-09-01,0.28829
1993-10-01,0.15450
1993-11-01,0.26806
1993-12-01,0.05307
1994-01-01,0.31018
1994-02-01,0.10713
1994-03-01,0.25687
1994-04-01,0.22963
1994-05-01,0.15189
1994-06-01,0.39428
1994-07-01,0.17140
1994-08-01,0.45937
1994-09-01,0.22515
1994-10-01,0.00000
1994-11-01,0.05231
1994-12-01,0.10162
1995-01-01,0.38096
1995-02-01,0.25125
1995-03-01,0.27291
1995-04-01,0.27051
1995-05-01,0.05413
1995-06-01,0.40443
1995-07-01,0.30433
1995-08-01,0.17208
1995-09-01,0.10773
1995-10-01,0.32891
1995-11-01,0.23555
1995-12-01,0.18183
1996-01-01,0.39749
1996-02-01,0.12554
1996-03-01,0.23257
1996-04-01,0.29257
1996-05-01,0.16702
1996-06-01,0.35927
1996-07-01,0.31237
1996-08-01,0.37554
1996-09-01,0.11087
1996-10-01,0.16648
1996-11-01,0.42051
1996-12-01,0.65315
1997-01-01,0.27409
1997-02-01,0.27438
1997-03-01,0.31591
1997-04-01,0.66592
1997-05-01,0.15723
1997-06-01,0.57837
1997-07-01,0.40349
1997-08-01,0.26253
1997-09-01,0.29750
1997-10-01,0.40126
1997-11-01,0.62346
1997-12-01,0.31158
1998-01-01,0.31997
1998-02-01,0.20915
1998-03-01,0.13523
1998-04-01,0.48928
1998-05-01,0.60101
1998-06-01,0.41639
1998-07-01,0.36710
1998-08-01,0.65708
1998-09-01,0.99466
1998-10-01,1.33775
1998-11-01,0.73566
1998-12-01,0.36482
1999-01-01,0.28254
1999-02-01,0.37706
1999-03-01,0.20335
1999-04-01,0.28897
1999-05-01,0.28936
1999-06-01,0.20001
