DATE,POILBREUSDM,GOLDAMGBD228NLBM,UNRATE,FEDFUNDS,WILL5000PRFC
1990-01-01,21.25,,5.4,8.23,
1990-02-01,19.93,413.25,5.3,8.24,3166.4
1990-03-01,18.37,406.25,5.2,8.28,3210.98
1990-05-01,16.34,368.95,5.4,8.18,3185.44
1990-06-01,15.05,363.1,5.2,8.29,3467.97
1990-08-01,27.32,371.1,5.7,8.13,3377.8
1990-10-01,36.09,400.0,5.9,8.11,2954.75
1990-11-01,33.2,380.1,6.2,7.81,2856.92
1991-01-01,23.54,,6.4,6.91,
1991-02-01,19.58,367.95,6.6,6.25,3248.26
1991-03-01,19.13,367.45,6.8,6.12,3513.94
1991-04-01,19.13,,6.7,5.91,3552.18
1991-05-01,19.16,356.25,6.9,5.78,3628.83
1991-07-01,19.42,368.65,6.8,5.82,3598.68
1991-08-01,19.73,364.3,6.9,5.66,3703.0
1991-10-01,22.25,353.0,7.0,5.21,3755.69
1991-11-01,21.0,357.5,7.0,4.81,3799.26
1992-01-01,18.55,,7.3,4.03,
1992-04-01,19.06,343.75,7.4,3.73,3962.66
1992-05-01,20.03,337.1,7.6,3.82,3992.76
1992-06-01,21.28,336.8,7.8,3.76,4041.59
1992-07-01,20.34,343.6,7.7,3.25,3972.45
1992-09-01,20.31,342.65,7.6,3.22,4002.08
1992-10-01,20.26,347.6,7.3,3.1,4010.55
1992-12-01,18.15,334.6,7.4,2.92,4220.79
1993-01-01,17.35,,7.3,3.02,
1993-02-01,18.48,329.5,7.1,3.03,4370.3
1993-03-01,18.75,328.4,7.0,3.07,4337.18
1993-04-01,18.63,337.0,7.1,2.96,4430.24
1993-06-01,17.59,378.25,7.0,3.04,4465.86
1993-07-01,16.76,377.85,6.9,3.06,4445.95
1993-09-01,15.99,371.8,6.7,3.09,4606.97
1993-10-01,16.56,353.9,6.8,2.99,4619.87
1993-11-01,15.08,367.95,6.6,3.02,4685.12
1993-12-01,13.56,370.1,6.5,2.96,4598.29
1994-02-01,13.75,382.1,6.6,3.25,4783.66
1994-03-01,13.88,381.1,6.5,3.34,4653.01
1994-04-01,15.15,,6.4,3.56,
1994-06-01,16.74,387.25,6.1,4.25,4533.77
1994-07-01,17.63,386.8,6.1,4.26,4413.39
1994-08-01,16.82,384.0,6.0,4.47,4545.32
1994-09-01,15.85,386.0,5.9,4.73,4683.08
1994-11-01,17.3,383.45,5.6,5.29,4640.55
